rel_time_sec,timestamp_sec,ground_truth_x_m,ground_truth_y_m,estimated_x_m,estimated_y_m,gnss_x_m,gnss_y_m,speed_kmh,position_error_m,uncertainty_m,gnss_status
4.19999999999709,33033.2,-33.963216141501086,26.12668448997585,-33.913762010828044,26.235726970573893,-33.963216141501086,26.12668448997585,41.47,0.11973292619660046,1.078700349606064,AVAILABLE
4.30000000000291,33033.3,-34.96832631725311,26.750073638584418,-34.897956698209505,26.839431943828277,-34.96832631725311,26.750073638584418,41.54,0.11374001055212106,1.0776580588442266,AVAILABLE
4.400000000001455,33033.4,-35.95985392305458,27.39572668402987,-35.88372335903973,27.447982811125133,-35.95985392305458,27.39572668402987,41.66,0.09233940435272421,1.0767297070229587,AVAILABLE
4.5,33033.5,-36.95138152887114,28.052511680266687,-36.866393414804406,28.060232728651933,-36.95138152887114,28.052511680266687,41.61,0.08533811645910157,1.075642538618352,AVAILABLE
4.599999999998545,33033.6,-37.94290913467261,28.709296675712526,-37.84787720162483,28.67724503899689,-37.94290913467261,28.709296675712526,41.64,0.10029145384801488,1.074568446005384,AVAILABLE
4.69999999999709,33033.7,-38.948019310424634,29.35494972194895,-38.829651263611986,29.29640749407998,-38.948019310424634,29.35494972194895,41.66,0.13205372751309977,1.0735076035331275,AVAILABLE
4.80000000000291,33033.8,-39.939546916241184,30.045130565023044,-39.806107156572125,29.922438568773334,-39.939546916241184,30.045130565023044,41.59,0.18127188255290766,1.0723319413628527,AVAILABLE
4.900000000001455,33033.9,-40.94465709197812,30.70191556125986,-40.78046318834092,30.55003702977902,-40.94465709197812,30.70191556125986,41.52,0.22366655162629978,1.071078654371512,AVAILABLE
5.0,33034.0,-41.94297598278503,31.336436658286868,-41.750069962948686,31.16684066982507,,,41.37,0.25685702597249227,1.1550492010363693,DENIED
5.099999999998545,33034.1,-42.93450358857143,31.926429959267182,-42.71790917876586,31.782282633725885,,,41.29,0.2601760746489448,1.2462238829853012,DENIED
5.19999999999709,33034.2,-43.92603119438798,32.51642326103847,-43.68410759184369,32.396681223020906,,,41.22,0.2699355203314433,1.3440668211097957,DENIED
5.30000000000291,33034.3,-44.91076751522927,33.12868046043762,-44.6483638518733,33.011027197417256,,,41.16,0.28757255230979817,1.4480936716267274,DENIED
5.400000000001455,33034.4,-45.88871255109528,33.74093765983677,-45.606294815666836,33.62134320546485,,,40.89,0.3066962842961242,1.5572826907626272,DENIED
5.5,33034.5,-46.86665758697637,34.35319485923592,-46.56435348230587,34.23197570380603,,,40.9,0.3257020960076424,1.671946568821467,DENIED
5.599999999998545,33034.6,-47.837811337882194,34.9209242617974,-47.51457635474298,34.83784720299097,,,40.57,0.3337403961538612,1.7907573898569813,DENIED
5.69999999999709,33034.7,-48.81575637373313,35.44412586910317,-48.46748164958102,35.445195125546455,,,40.68,0.3482763655383057,1.9146712436808806,DENIED
5.80000000000291,33034.8,-49.79370140961422,35.989591373245815,-49.41617054937818,36.04985566795764,,,40.5,0.3823105225437557,2.0425560239841074,DENIED
5.900000000001455,33034.9,-50.77164644546516,36.457133235295466,-50.35949611923112,36.65156092379658,,,40.28,0.45570825916447144,2.1740079125840555,DENIED
6.0,33035.0,-51.74959148134625,36.92467509655415,-51.30331403577437,37.25404378273427,,,40.31,0.5546596162171751,2.30962266206932,DENIED
6.099999999998545,33035.1,-52.727536517212265,37.45900865227836,-52.24330545239162,37.85477694661034,,,40.16,0.625389692060709,2.4486179835679427,DENIED
6.19999999999709,33035.2,-53.698690268118085,37.94881441195587,-53.18085164562803,38.45417791276566,,,40.06,0.7235669332502132,2.5909864732152665,DENIED
6.30000000000291,33035.3,-54.663052734033556,38.483147967680075,-54.11057089368148,39.04880351304588,,,39.73,0.7906974009833988,2.7357301306933155,DENIED
6.400000000001455,33035.4,-55.62741519994903,38.99521762498545,-55.03693757891857,39.64196855285154,,,39.6,0.8757571487766656,2.883403046044538,DENIED
6.5,33035.5,-56.57819509594412,39.540683129919074,-55.963331051704444,40.23560676069879,,,39.61,0.9278882721076043,3.034411989569101,DENIED
6.599999999998545,33035.6,-57.522183706933774,40.06388473643386,-56.88452313188661,40.82500510962804,,,39.37,0.9929326419554948,3.1876917002684655,DENIED
6.69999999999709,33035.7,-58.472963602928864,40.58708634373963,-57.80344903507064,41.412275578982566,,,39.26,1.0626321238016507,3.343624899854989,DENIED
6.80000000000291,33035.8,-59.410160928973404,41.099156001045,-58.71782574548109,41.99686354202522,,,39.07,1.1336696324035826,3.5017888240549797,DENIED
6.900000000001455,33035.9,-60.354149539978145,41.62235760755979,-59.62718620877786,42.57846809530928,,,38.86,1.2010923984833097,3.6619934167967036,DENIED
7.0,33036.0,-61.28455558104742,42.14555921486556,-60.532935394042056,43.1579857505557,,,38.71,1.260928386421501,3.824387804766043,DENIED
7.099999999998545,33036.1,-62.22175290709197,42.668760821380346,-61.4347068639486,43.734958378641394,,,38.54,1.3252240207365178,3.9888015850020353,DENIED
7.19999999999709,33036.2,-63.15215894817632,43.1696985294763,-62.33273460175381,44.3095356870464,,,38.38,1.403810886582462,4.155194759130053,DENIED
7.30000000000291,33036.3,-64.07577370425524,43.659504289944785,-63.222806908908474,44.87902294117138,,,38.04,1.4882130541873573,4.322694323824718,DENIED
7.400000000001455,33036.4,-64.99259717538905,44.17157394725016,-64.10666034943135,45.444313830969094,,,37.77,1.5507259174969925,4.491507510487389,DENIED
